YYYY,MM,DD,HH24,MI format in Local standard time,Air Temperature in degrees C,Relative humidity in percentage %,Wind speed in km/h
2018,1,8,21,0,17.4,75,15
2018,1,8,21,30,17.5,72,18
2018,1,8,22,0,17.1,74,17
2018,1,8,22,30,16.8,76,13
2018,1,8,23,0,17,72,15
2018,1,8,23,30,17,73,13
2018,1,9,0,0,17.1,72,13
2018,1,9,0,30,17,73,15
2018,1,9,1,0,17,72,13
2018,1,9,1,30,16.9,72,11
2018,1,9,2,0,16.8,75,8
2018,1,9,2,30,16.7,75,9
2018,1,9,3,0,16.7,75,9
2018,1,9,3,30,16.4,75,18
2018,1,9,4,0,15.6,77,15
2018,1,9,4,30,15.3,78,17
2018,1,9,5,0,15.4,77,11
2018,1,9,5,30,13.9,83,11
2018,1,9,6,0,14.7,80,9
2018,1,9,6,30,15.7,72,17
2018,1,9,7,0,16.8,66,15
2018,1,9,7,30,17.7,57,18
2018,1,9,8,0,18.5,53,17
2018,1,9,8,30,19.8,48,21
2018,1,9,9,0,20.1,49,22
2018,1,9,9,30,20.6,45,22
2018,1,9,10,0,20.6,45,28
2018,1,9,10,30,21.4,44,26
2018,1,9,11,0,21.7,42,22
2018,1,9,11,30,21.1,48,25
2018,1,9,12,0,20.5,57,28
2018,1,9,12,30,19.4,62,35
2018,1,9,13,0,20,59,33
2018,1,9,13,30,19.4,57,35
2018,1,9,14,0,20.7,52,33
2018,1,9,14,30,19.3,51,31
2018,1,9,15,0,20.8,45,35
2018,1,9,15,30,20.2,43,33
2018,1,9,16,0,20.3,43,33
2018,1,9,16,30,18.6,51,33
2018,1,9,17,0,18.6,49,35
2018,1,9,17,30,18.7,49,33
2018,1,9,18,0,18,47,33
2018,1,9,18,30,17.5,45,33
2018,1,9,19,0,16.8,51,31
2018,1,9,19,30,16.3,57,26
2018,1,9,20,0,15.8,60,28
2018,1,9,20,30,15.6,63,22
2018,1,9,21,0,15.4,64,21
2018,1,9,21,30,15.3,64,21
2018,1,9,22,0,14.9,67,17
2018,1,9,22,30,13.9,72,9
2018,1,9,23,0,14.3,72,9
2018,1,9,23,30,15.9,71,22
2018,1,10,0,0,15.8,70,21
2018,1,10,0,30,15.9,67,21
2018,1,10,1,0,15.4,69,17
2018,1,10,1,30,14.8,74,13
2018,1,10,2,0,14.1,77,5
2018,1,10,2,30,14.2,77,11
2018,1,10,3,0,14.5,75,9
2018,1,10,3,30,14.6,74,18
2018,1,10,4,0,14.2,76,13
2018,1,10,4,30,14.1,76,17
2018,1,10,5,0,12.8,83,13
2018,1,10,5,30,12.4,85,8
2018,1,10,6,0,13.7,82,13
2018,1,10,6,30,14.5,77,9
2018,1,10,7,0,15.9,73,17
2018,1,10,7,30,16.6,69,22
2018,1,10,8,0,17.6,62,28
2018,1,10,8,30,17,64,26
2018,1,10,9,0,19,55,21
2018,1,10,9,30,19.4,53,17
2018,1,10,10,0,19.8,49,21
2018,1,10,10,30,20,50,9
2018,1,10,11,0,20.7,47,9
2018,1,10,11,30,21.5,45,11
2018,1,10,12,0,23,41,15
2018,1,10,12,30,22.6,40,9
2018,1,10,13,0,23.1,40,11
2018,1,10,13,30,23.2,39,9
2018,1,10,14,0,23.1,41,13
2018,1,10,14,30,24.1,37,13
2018,1,10,15,0,23.8,37,15
2018,1,10,15,30,24.3,38,13
2018,1,10,16,0,24.2,40,15
2018,1,10,16,30,23.6,48,15
2018,1,10,17,0,24,45,11
2018,1,10,17,30,24.3,43,11
2018,1,10,18,0,24.6,40,9
2018,1,10,18,30,24.8,41,8
2018,1,10,19,0,24.2,42,9
2018,1,10,19,30,23.2,49,9
2018,1,10,20,0,21.5,55,5
2018,1,10,20,30,20.7,57,8
2018,1,10,21,0,19.2,64,9
2018,1,10,21,30,18.1,75,11
2018,1,10,22,0,17.4,81,11
2018,1,10,22,30,17,81,13
2018,1,10,23,0,17.1,79,9
2018,1,10,23,30,16.7,80,9
2018,1,11,0,0,16.5,80,9
2018,1,11,0,30,16,84,13
2018,1,11,1,0,14.8,84,13
2018,1,11,1,30,14.6,83,11
2018,1,11,2,0,14.5,82,15
2018,1,11,2,30,14.3,82,15
